filename,id,app_type,description,key_features,ui_elements,use_case
yazio_like_app_three_screens.png,image:21,YAZIO-ähnlich,"Drei Smartphone-Screens mit Kalorienzähler, Tagesplanung und Rezept-Suche","Kaloriengauge, Makros-Breakdown, Mahlzeiten-Kategorien","Kreisdiagramme, Meal-Cards, moderne lila/weiße Farben","Dashboard-Design, Meal-Tracking UI"
fitness_tracking_multi_device.png,image:22,Multi-Device Fitness,Smartwatch + Smartphones mit Intermittent Fasting und Kalorien-Tracking,"Fasten-Timer, Kalorien burned/eaten, Smartwatch-Integration","Progress-Ringe, Clean Layout, blaue Akzentfarben","Device-Integration, Fasting-Feature"
calorie_tracker_smartphone.png,image:23,Kalorienzähler,Smartphone-Screen mit Today-Dashboard für Kalorienverfolgung,"Calories eaten/remaining/burned, Makro-Progress-Bars","Bottom Navigation, Progress-Bars, Meal-Sections",Tägliches Tracking-Dashboard
health_diet_tracking_three_screens.png,image:24,Health & Diet,iPhone + Smartphone + Smartwatch mit Nutrition Summary und Fasting,"Daily nutrition summary, Fasting-Timer, Multi-Device","Clean Design, Circular Indicators, Icon-Navigation",Ganzheitliches Health-Tracking
iphone_food_diary_interface.png,image:25,Food Diary,iPhone Food Diary mit Calories und Makros für Today,"Calorie Summary, Macronutrient Goals, Meal Categories","Circular Progress, Bottom Tabs, Clean Typography",Food-Logging Interface
lose_it_app_three_screens.png,image:46,Lose It!,"Lose It! App mit Dashboard, Motivation und Premium Offer","Calorie Budget, Motivational Messages, Premium Features","Dark Mode, Orange Highlights, Progress Percentage","Motivational Design, Premium-Features"
cooking_app_interface_dark_theme.png,image:47,Koch-App,"Koch-App mit Welcome-Screen, Dashboard und Recipe Details","Recipe Browsing, Categories, Detailed Recipe View","Dark Theme, Orange/White Contrast, Food Images",Recipe-App Interface Design
cronometer_app_screen.png,image:48,Cronometer,Cronometer Nutrition Tracker mit detailliertem Meal Logging,"Detailed Nutrient Tracking, Meal Breakdown, Scientific Data","Dark Mode, Circular Progress, Detailed Food List",Wissenschaftliche Nährstoff-Analyse
nutrition_app_trends_charts.png,image:49,Nutrition Charts,Zwei Apps mit Trends und Charts für Kalorien-Analyse,"Bar Charts, Line Graphs, Calorie Breakdown","Orange Headers, Chart Visualizations, Clean Layout","Datenvisualisierung, Trends-Analyse"
free_trial_onboarding_ui.png,image:50,Onboarding,Free Trial Onboarding mit Timeline-Design,"Trial Process, Step-by-Step Guide, Call-to-Action","Orange Gradient, Timeline Icons, Clear Typography","App-Onboarding, Premium-Features"
cronometer_report_interface.png,image:51,Cronometer Reports,Cronometer Report Tab mit detaillierten Nährstoff-Targets,"Macro/Micro Nutrients, Percentage Goals, Scientific Tracking","Progress Bars, Percentage Indicators, Clean Layout",Detaillierte Nährstoff-Reports
fitness_dashboard_charts.png,image:52,Fitness Dashboard,Fitness-App mit verschiedenen Charts und Activity Data,"Activity Tracking, Heart Rate, Multiple Chart Types","Colorful Charts, Modern Design, Data Visualization",Fitness-Daten Dashboard
food_recipe_mobile_app.png,image:53,Recipe App,"Food Recipe App mit Browsing, Categories und Recipe Creation","Recipe Categories, Star Ratings, Create Own Recipes","High-Quality Food Images, Category Navigation, Ratings",Recipe-Browsing Interface
meal_planning_two_screens.png,image:54,Meal Planning,Meal Planning App mit Welcome und Personalized Meal Selection,"Meal Plans, Nutrition Goals, Personalized Greeting","Food Photography, Calorie Display, Modern Layout",Meal-Planning Interface
cooking_recipe_app_pink.png,image:55,Cooking App,"Rosa-themige Cooking App mit Welcome, Menu und Recipe Details","Recipe Categories, Ratings, Cooking Times, Ingredients","Pink Theme, Rounded Edges, Food Icons, Star Ratings",Friendly Recipe-App Design
noom_app_interface.png,image:76,Noom,Noom App Interface mit Calorie Tracking und Steps,"Calorie Tracking, Step Counter, Google Fit Integration","Clean Layout, Progress Bars, Integration Options",Psychology-Based Weight Loss
